png,valor_similarity
1,0.950178
2,0.898278
3,0.962838
4,0.938764
5,0.947299
6,0.938598
7,0.946709
8,0.946236
9,0.939795
10,0.943354
11,0.950192
12,0.915516
13,0.894007
14,0.936897
15,0.942199
16,0.933825
17,0.960520
18,0.925599
19,0.945588
20,0.892429
21,0.955096
22,0.920813
23,0.912951
24,0.938767
25,0.943195
26,0.938436
27,0.922367
28,0.907384
29,0.916866
30,0.958401
31,0.882884
32,0.888872
33,0.908053
34,0.907695
35,0.837915
36,0.854947
37,0.861885
38,0.873902
39,0.857192
40,0.852903
41,0.863943
42,0.833772
43,0.875536
44,0.854364
45,0.838477
46,0.911668
47,0.916631
48,0.897570
49,0.892664
50,0.844884
51,0.901934
52,0.885152
53,0.910116
54,0.920756
55,0.908034
56,0.912926
57,0.876527
58,0.883659
59,0.916964
60,0.882723
61,0.875254
62,0.868556
63,0.895644
64,0.924384
65,0.876423
66,0.916664
67,0.771136
68,0.837100
69,0.769821
70,0.578958
71,0.922172
72,0.905556
73,0.891026
74,0.924990
75,0.869801
76,0.896509
77,0.912513
78,0.913200
79,0.877984
80,0.921875
81,0.627990
82,0.629224
83,0.870638
84,0.855357
85,0.890078
86,0.870822
87,0.840990
88,0.838712
89,0.865993
90,0.877455
91,0.867005
92,0.929321
93,0.939375
94,0.858940
95,0.852763
96,0.912196
97,0.832214
98,0.918421
99,0.849726
100,0.817798
